coin,status,z_score,mean_price,std_price,batch_id
cardano,ANOMALIE,4.4841,0.2682,0.0004,68
ethereum,normal,0.4881,1903.5675,2.6888,68
solana,normal,1.3181,80.9592,0.0765,68
binancecoin,normal,0.4942,603.6697,0.4254,69
bitcoin,normal,1.1234,65074.2162,51.4367,69
cardano,ANOMALIE,4.3811,0.2682,0.0004,69
ethereum,normal,0.4799,1903.603,2.6608,69
solana,normal,1.2707,80.9619,0.0772,69
binancecoin,normal,0.4861,603.6753,0.4212,70
bitcoin,normal,1.0906,65075.7368,51.5914,70
cardano,ANOMALIE,4.2928,0.2682,0.0004,70
ethereum,normal,0.4722,1903.6366,2.6335,70
solana,normal,1.228,80.9645,0.0778,70
binancecoin,normal,0.4784,603.6805,0.417,71
bitcoin,normal,1.0604,65077.1795,51.6963,71
cardano,ANOMALIE,4.2166,0.2683,0.0004,71
ethereum,normal,0.4647,1903.6685,2.6069,71
solana,normal,1.1894,80.9669,0.0783,71
binancecoin,normal,0.4241,603.685,0.4127,72
bitcoin,normal,0.8296,65078.275,51.5024,72
cardano,ANOMALIE,4.1104,0.2683,0.0004,72
ethereum,normal,0.3032,1903.6885,2.5771,72
solana,normal,1.1542,80.9693,0.0786,72
binancecoin,normal,0.4179,603.6893,0.4085,73
bitcoin,normal,0.8126,65079.3171,51.2956,73
cardano,ANOMALIE,4.0187,0.2683,0.0004,73
ethereum,normal,0.2992,1903.7076,2.5484,73
solana,normal,1.122,80.9715,0.0789,73
binancecoin,normal,0.0985,603.6902,0.4037,78
bitcoin,normal,0.4359,65079.8571,50.7991,78
cardano,ANOMALIE,3.9012,0.2683,0.0004,78
ethereum,normal,0.1482,1903.7167,2.5185,78
solana,normal,1.3293,80.974,0.0797,78
binancecoin,normal,0.0973,603.6912,0.399,79
bitcoin,normal,0.4298,65080.3721,50.3158,79
cardano,ANOMALIE,3.7998,0.2683,0.0004,79
ethereum,normal,0.1465,1903.7253,2.4897,79
solana,normal,1.2876,80.9765,0.0804,79
binancecoin,normal,0.0962,603.692,0.3945,80
bitcoin,normal,0.424,65080.8636,49.845,80
cardano,ANOMALIE,3.7115,0.2683,0.0004,80
ethereum,normal,0.1448,1903.7336,2.4619,80
solana,normal,1.2496,80.9789,0.0809,80
binancecoin,normal,0.2704,603.6944,0.3904,85
bitcoin,normal,-0.3143,65080.5111,49.3435,85
cardano,ANOMALIE,3.634,0.2684,0.0005,85
ethereum,normal,-0.0497,1903.7309,2.4344,85
solana,normal,1.0981,80.9809,0.0812,85
binancecoin,normal,0.2672,603.6967,0.3864,86
